url,name,UserCount,PullRequests,description,created_at
https://api.github.com/repos/pubnub/pubnub-api,pubnub-api,39,41,"PubNub makes Real-time Real Easy with a Simple Communications API.  Two Functions: Send/Receive (Publish/Subscribe).  We provide a web-service API for businesses to build scalable Data Push communication apps on Mobile, Tablet and Web.  Bidirectional JSON","2010-06-04 18:00:21"
https://api.github.com/repos/mapbox/millstone,millstone,18,23,"middleware for map styles and datasources","2011-07-25 00:50:33"
https://api.github.com/repos/SpringSource/spring-test-mvc,spring-test-mvc,75,36,,"2011-05-23 13:22:54"
https://api.github.com/repos/opscode-cookbooks/build-essential,build-essential,26,23,"Development repository for Opscode Cookbook build-essential","2012-03-14 10:11:52"
https://api.github.com/repos/stapler/stapler,stapler,11,20,"Stapler web framework","2011-03-30 13:39:45"
https://api.github.com/repos/appfog/afdocs,afdocs,20,26,,"2012-06-26 13:52:04"
https://api.github.com/repos/openSUSE/one-click-installer,one-click-installer,19,47,"Beautiful one-click installer","2012-05-06 00:22:36"
https://api.github.com/repos/rumblelabs/asset_sync,asset_sync,16,82,"Synchronises Assets between Rails and S3","2011-07-29 15:18:02"
https://api.github.com/repos/radiant/radiant,radiant,16,60,"Radiant is a no-fluff, open source content management system designed for small teams.","2008-06-20 06:28:43"
https://api.github.com/repos/commontk/CTK,CTK,28,64,"A set of common support code for medical imaging, surgical navigation, and related purposes.","2010-06-14 06:23:41"
https://api.github.com/repos/iFixit/itbrokeand.ifixit.com,itbrokeand.ifixit.com,20,21,"Sometimes things break, and then we've got to fix them.","2012-07-20 08:09:34"
https://api.github.com/repos/mozilla/kpi-dashboard,kpi-dashboard,20,22,"dashboard for visualizing key performance indicators for Mozilla Persona","2012-08-03 13:55:26"
https://api.github.com/repos/neo4j/enterprise,enterprise,23,62,"Neo4j Graph Database - Enterprise Edition","2011-04-07 01:06:47"
https://api.github.com/repos/alphagov/govuk_content_models,govuk_content_models,62,99,"Shared content models for Panopticon and Publisher, as an Engine.","2012-05-14 04:17:38"
https://api.github.com/repos/twitter/recess,recess,229,46,"A simple and attractive code quality tool for CSS built on top of LESS","2012-04-17 12:33:37"
https://api.github.com/repos/nodejitsu/forever,forever,14,88,"A simple CLI tool for ensuring that a given script runs continuously (i.e. forever)","2010-09-27 06:47:23"
https://api.github.com/repos/heroku/heroku-buildpack-grails,heroku-buildpack-grails,14,20,,"2011-09-07 14:56:07"
https://api.github.com/repos/CloudifySource/cloudify,cloudify,14,61,"Cloud-enablement platform that on-boards applications to public and private clouds without architectural or code changes","2012-01-26 03:49:39"
https://api.github.com/repos/telefonicaid/gaia,gaia,18,44,"Gaia is a HTML5-based Phone UI for the Boot 2 Gecko Project","2012-05-21 01:59:44"
https://api.github.com/repos/wajam/spnl,spnl,22,56,"Distributed incremental job processing ","2012-04-23 17:09:03"
https://api.github.com/repos/erlang/otp,otp,11,94,Erlang/OTP,"2009-11-16 08:17:57"
